crime_type,Actual_Borough_Name,mean_absolute_error,actual_total,predicted_total,n_observations
Burglary,Barking and Dagenham,0.8197611102899597,1060,1246.190920722144,1380
Burglary,Barnet,0.8222239046814871,2397,2296.2219476435334,2640
Burglary,Bexley,0.6980766938141566,964,1169.9192338845025,1776
Burglary,Brent,0.8832057445930672,2196,2097.907675572954,2172
Burglary,Bromley,0.74055568706005,1491,1708.8176386802259,2388
Burglary,Camden,1.0329108042234005,2274,2154.1009081579496,1560
Burglary,Croydon,0.7527985046703765,1841,2301.2722183542355,2748
Burglary,Ealing,0.834293933641565,2043,2103.295573490358,2388
Burglary,Enfield,0.8839068786103377,2176,2069.63035188192,2196
Burglary,Greenwich,0.7935008611871284,1576,1699.5271089563482,1968
Burglary,Hackney,1.0514641822312025,2491,2298.2446328171677,1788
Burglary,Hammersmith and Fulham,0.9049119421498123,1402,1367.2347976894775,1380
Burglary,Haringey,0.8650849777135903,1689,1883.497104006913,1764
Burglary,Harrow,0.738864493596533,1208,1283.4236202929562,1728
Burglary,Havering,0.7508011543676958,1290,1364.8392957158528,1836
Burglary,Hillingdon,0.7704175558588766,1496,1544.3956543721958,2040
Burglary,Hounslow,0.8785706242547761,1935,1676.7133309293063,1800
Burglary,Islington,1.0032211699759168,1855,1811.222447200471,1512
Burglary,Kensington and Chelsea,0.9340255679294553,1458,1381.5335169435443,1212
Burglary,Kingston upon Thames,0.7238051127615389,761,842.8890919524857,1188
Burglary,Lambeth,0.9035671618176809,2127,2362.296789085551,2172
Burglary,Lewisham,0.8498324976455311,1946,1958.9143419820143,2100
Burglary,Merton,0.7095009786702604,871,1090.701003320931,1512
Burglary,Newham,0.8363777715839585,1973,2166.129215510118,2220
Burglary,Redbridge,0.7474333854576782,1317,1547.0652986357723,1968
Burglary,Richmond upon Thames,0.8134940472379015,1172,1084.743246179236,1380
Burglary,Southwark,0.9653795338272255,2478,2539.2761562769388,2076
Burglary,Sutton,0.6845259132134234,840,1013.3079688344498,1476
Burglary,Tower Hamlets,0.9932116414021834,2403,2328.3521753041978,2028
Burglary,Waltham Forest,0.8084436097528237,1380,1505.9782724258607,1752
Burglary,Wandsworth,0.8866097443892629,2160,2091.2299017544956,2232
Burglary,Westminster,1.2835996205110305,3120,2991.2241175832573,1476
Robbery,Barking and Dagenham,0.680604839724641,885,785.3623827037086,1380
Robbery,Barnet,0.4805849979558498,934,998.6644555569386,2640
Robbery,Bexley,0.3182396937738725,354,433.3886113050502,1776
Robbery,Brent,0.5851314436470432,1056,1158.457336539845,2172
Robbery,Bromley,0.35633540506170996,590,687.0330480927685,2388
Robbery,Camden,0.857804943435301,1700,1681.2074113464569,1560
Robbery,Croydon,0.5641367597362437,1541,1426.94690098188,2748
Robbery,Ealing,0.5183023387726148,975,1053.0998975056207,2388
Robbery,Enfield,0.5407933450758787,947,1078.2226468025851,2196
Robbery,Greenwich,0.5422576521016484,842,896.0158903567319,1968
Robbery,Hackney,0.7880985844858654,1601,1660.188689524099,1788
Robbery,Hammersmith and Fulham,0.5697396661165254,633,777.8376132293662,1380
Robbery,Haringey,0.7882963965576265,1462,1387.3564164082452,1764
Robbery,Harrow,0.3653642640075113,433,513.046777311657,1728
Robbery,Havering,0.39573126230917477,539,574.2713695880954,1836
Robbery,Hillingdon,0.38471809817011665,536,625.366241625904,2040
Robbery,Hounslow,0.5010972825496371,643,752.0565166776379,1800
Robbery,Islington,0.7386808936776731,1190,1298.3488084298335,1512
Robbery,Kensington and Chelsea,0.6776253573586072,748,794.1680051170441,1212
Robbery,Kingston upon Thames,0.28427904779408025,188,310.27348046951835,1188
Robbery,Lambeth,0.7986815699177565,1988,1799.6708476783697,2172
Robbery,Lewisham,0.5559304703911073,876,1026.347867241636,2100
Robbery,Merton,0.4220535235587295,461,464.2114043497606,1512
Robbery,Newham,0.6964726205717446,1592,1455.0818372533447,2220
Robbery,Redbridge,0.5040427420217364,798,797.3674277712574,1968
Robbery,Richmond upon Thames,0.3404169051697732,272,370.3066343313459,1380
Robbery,Southwark,0.8393726231058671,2021,1956.1824674238387,2076
Robbery,Sutton,0.35578985630603105,354,395.5911498719582,1476
Robbery,Tower Hamlets,0.7293837210038008,1357,1467.1893243763022,2028
Robbery,Waltham Forest,0.5525997058581048,788,785.9833488757243,1752
Robbery,Wandsworth,0.5545535524690725,962,1037.37766013013,2232
Robbery,Westminster,1.2500054383579817,4052,4009.3903023220378,1476
