crime_type,IMD_decile_1_most_deprived,mean_absolute_error,actual_total,predicted_total,n_observations
Burglary,1,0.9095946073622333,6040,6384.7375126830175,5988
Burglary,2,0.9121268170738979,6360,6367.965231314376,5988
Burglary,3,0.8697723824099649,5868,6024.569595319076,5988
Burglary,4,0.8725216009272837,5872,6006.387098435888,5988
Burglary,5,0.8692349053426089,5828,5890.063488717233,5976
Burglary,6,0.8343141303580293,5354,5424.145922229955,5988
Burglary,7,0.8150607648131954,5021,5251.956490947304,5988
Burglary,8,0.7955627198446661,4970,5102.418269582241,5988
Burglary,9,0.7360193536546559,3832,4359.9127353618815,5988
Burglary,10,0.9004121146066263,6245,6167.939211566392,5976
Robbery,1,0.7355334868354538,4425,4601.3577849068,5988
Robbery,2,0.6867001202301614,4129,4184.803118857901,5988
Robbery,3,0.6583889802021131,3881,3922.0449071670346,5988
Robbery,4,0.6581442665021616,4085,4040.169446300712,5988
Robbery,5,0.6121855251516658,3485,3504.2054555253603,5976
Robbery,6,0.5411364709569887,2625,2885.4819185654906,5988
Robbery,7,0.49552581077588725,2481,2693.0012127289947,5988
Robbery,8,0.42701423433947244,2334,2510.5716848934762,5988
Robbery,9,0.3139219884036085,1306,1498.6130229917435,5988
Robbery,10,0.6402309496476994,4567,4615.764219261178,5976
